State,Current Rate,Historical High Date,Historical High Rate,Historical Low Date,Historical Low Rate
Alabama,2.3,Jan. 1983,14.9,Aug. 2023,2.1
Alaska,4.3,May 2020,11.9,May 2023,3.6
Arizona,4.2,Apr. 2020,13.8,May 2023,3.4
Arkansas,3.1,Apr. 2020,10.1,July 2023,2.6
California,4.8,Apr. 2020,16.1,Aug. 2022,3.8
Colorado,3.3,May 2020,11.6,May 2017,2.4
Connecticut,3.5,May 2020,11.7,Aug. 2000,2.0
Delaware,4.2,May 2020,13.4,May 1988,2.8
District of Columbia,5.0,Mar. 1983,11.3,Aug. 2022,3.9
Florida,2.8,May 2020,14.1,June 2006,2.4
Georgia,3.4,Apr. 2020,12.4,May 2022,2.9
Hawaii,2.9,Apr. 2020,22.6,Dec. 2017,1.9
Idaho,3.2,Apr. 2020,11.7,May 2022,2.5
Illinois,4.6,Apr. 2020,18.0,Dec. 2019,3.6
Indiana,3.6,Apr. 2020,16.8,Apr. 2022,2.8
Iowa,3.2,Apr. 2020,10.9,Apr. 2022,2.3
Kansas,2.9,Apr. 2020,12.4,Apr. 2022,2.4
Kentucky,4.2,Apr. 2020,16.7,Apr. 2023,3.7
Louisiana,3.3,Apr. 2020,13.5,Oct. 2023,3.3
Maine,2.8,May 2020,9.4,July 2023,2.4
Maryland,1.7,Apr. 2020,9.0,Sept. 2023,1.6
Massachusetts,2.8,Apr. 2020,16.9,July 2023,2.5
Michigan,4.1,Apr. 2020,22.6,Feb. 2000,3.2
Minnesota,3.2,May 2020,11.1,Apr. 2022,2.3
Mississippi,3.3,Apr. 2020,15.6,July 2023,3.0
Missouri,3.1,Apr. 2020,11.4,June 2022,2.1
Montana,2.8,Apr. 2020,11.9,May 2023,2.3
Nebraska,2.2,Apr. 2020,8.1,June 2023,1.9
Nevada,5.4,Apr. 2020,30.6,Feb. 1999,3.8
New Hampshire,2.1,Apr. 2020,16.0,July 2023,1.7
New Jersey,4.6,May 2020,15.3,Aug. 2022,3.0
New Mexico,3.8,Mar. 1983,10.5,Aug. 2022,3.4
New York,4.2,May 2020,16.6,June 2019,3.7
North Carolina,3.4,Apr. 2020,14.2,Mar. 1999,3.1
North Dakota,1.9,Apr. 2020,8.7,Oct. 2023,1.9
Ohio,3.6,Apr. 2020,16.4,July 2023,3.3
Oklahoma,3.2,Apr. 2020,12.5,July 2023,2.7
Oregon,3.6,Apr. 2020,13.7,Aug. 2023,3.4
Pennsylvania,3.4,Apr. 2020,16.2,Oct. 2023,3.4
Rhode Island,2.7,Apr. 2020,18.0,Sept. 2023,2.6
South Carolina,2.9,Dec. 2009,12.1,Sept. 2019,2.4
South Dakota,2.0,Apr. 2020,8.8,June 2023,1.8
Tennessee,3.3,Apr. 2020,15.8,Aug. 2023,3.1
Texas,4.1,Apr. 2020,12.8,June 2019,3.4
Utah,2.7,Apr. 2020,10.0,May 2022,2.2
Vermont,2.0,Apr. 2020,14.0,Aug. 2023,1.8
Virginia,2.7,Apr. 2020,12.0,Nov. 2000,2.1
Washington,3.8,Apr. 2020,16.6,Sept. 2023,3.6
West Virginia,4.0,Mar. 1983,18.4,June 2023,3.3
Wisconsin,3.2,Apr. 2020,14.1,May 2023,2.4
Wyoming,2.9,Jan. 1987,9.1,May 1979,2.3
